Theta(deg)	Intensity(%)
0.0	100.00
0.5	99.24
1.0	98.53
1.5	97.85
2.0	97.20
2.5	96.59
3.0	96.01
3.5	95.45
4.0	94.91
4.5	94.39
5.0	93.89
5.5	93.40
6.0	92.92
6.5	92.44
7.0	91.97
7.5	91.49
8.0	91.02
8.5	90.53
9.0	90.04
9.5	89.53
10.0	89.00
10.5	88.45
11.0	87.88
11.5	87.29
12.0	86.66
12.5	86.01
13.0	85.31
13.5	84.58
14.0	83.80
14.5	82.98
15.0	82.11
15.5	81.19
16.0	80.21
16.5	79.17
17.0	78.07
17.5	76.91
18.0	75.68
18.5	74.37
19.0	72.99
19.5	71.54
20.0	70.00
20.5	68.38
21.0	66.68
21.5	64.91
22.0	63.08
22.5	61.18
23.0	59.24
23.5	57.24
24.0	55.21
24.5	53.14
25.0	51.05
25.5	48.93
26.0	46.80
26.5	44.67
27.0	42.53
27.5	40.39
28.0	38.27
28.5	36.16
29.0	34.07
29.5	32.02
30.0	30.00
30.5	28.02
31.0	26.09
31.5	24.20
32.0	22.36
32.5	20.56
33.0	18.81
33.5	17.11
34.0	15.46
34.5	13.86
35.0	12.32
35.5	10.83
36.0	9.39
36.5	8.01
37.0	6.69
37.5	5.42
38.0	4.21
38.5	3.07
39.0	1.98
39.5	0.96
40.0	0.00
40.5	0.00
41.0	0.00
41.5	0.00
42.0	0.00
42.5	0.00
43.0	0.00
43.5	0.00
44.0	0.00
44.5	0.00
45.0	0.00
45.5	0.00
46.0	0.00
46.5	0.00
47.0	0.00
47.5	0.00
48.0	0.00
48.5	0.00
49.0	0.00
49.5	0.00
50.0	0.00
50.5	0.00
51.0	0.00
51.5	0.00
52.0	0.00
52.5	0.00
53.0	0.00
53.5	0.00
54.0	0.00
54.5	0.00
55.0	0.00
55.5	0.00
56.0	0.00
56.5	0.00
57.0	0.00
57.5	0.00
58.0	0.00
58.5	0.00
59.0	0.00
59.5	0.00
60.0	0.00
60.5	0.00
61.0	0.00
61.5	0.00
62.0	0.00
62.5	0.00
63.0	0.00
63.5	0.00
64.0	0.00
64.5	0.00
65.0	0.00
65.5	0.00
66.0	0.00
66.5	0.00
67.0	0.00
67.5	0.00
68.0	0.00
68.5	0.00
69.0	0.00
69.5	0.00
70.0	0.00
70.5	0.00
71.0	0.00
71.5	0.00
72.0	0.00
72.5	0.00
73.0	0.00
73.5	0.00
74.0	0.00
74.5	0.00
75.0	0.00
75.5	0.00
76.0	0.00
76.5	0.00
77.0	0.00
77.5	0.00
78.0	0.00
78.5	0.00
79.0	0.00
79.5	0.00
80.0	0.00
80.5	0.00
81.0	0.00
81.5	0.00
82.0	0.00
82.5	0.00
83.0	0.00
83.5	0.00
84.0	0.00
84.5	0.00
85.0	0.00
85.5	0.00
86.0	0.00
86.5	0.00
87.0	0.00
87.5	0.00
88.0	0.00
88.5	0.00
89.0	0.00
89.5	0.00
90.0	0.00
90.5	0.00
91.0	0.00
91.5	0.00
92.0	0.00
92.5	0.00
93.0	0.00
93.5	0.00
94.0	0.00
94.5	0.00
95.0	0.00
95.5	0.00
96.0	0.00
96.5	0.00
97.0	0.00
97.5	0.00
98.0	0.00
98.5	0.00
99.0	0.00
99.5	0.00
100.0	0.00
100.5	0.00
101.0	0.00
101.5	0.00
102.0	0.00
102.5	0.00
103.0	0.00
103.5	0.00
104.0	0.00
104.5	0.00
105.0	0.00
105.5	0.00
106.0	0.00
106.5	0.00
107.0	0.00
107.5	0.00
108.0	0.00
108.5	0.00
109.0	0.00
109.5	0.00
110.0	0.00
110.5	0.00
111.0	0.00
111.5	0.00
112.0	0.00
112.5	0.00
113.0	0.00
113.5	0.00
114.0	0.00
114.5	0.00
115.0	0.00
115.5	0.00
116.0	0.00
116.5	0.00
117.0	0.00
117.5	0.00
118.0	0.00
118.5	0.00
119.0	0.00
119.5	0.00
120.0	0.00
120.5	0.00
121.0	0.00
121.5	0.00
122.0	0.00
122.5	0.00
123.0	0.00
123.5	0.00
124.0	0.00
124.5	0.00
125.0	0.00
125.5	0.00
126.0	0.00
126.5	0.00
127.0	0.00
127.5	0.00
128.0	0.00
128.5	0.00
129.0	0.00
129.5	0.00
130.0	0.00
130.5	0.00
131.0	0.00
131.5	0.00
132.0	0.00
132.5	0.00
133.0	0.00
133.5	0.00
134.0	0.00
134.5	0.00
135.0	0.00
135.5	0.00
136.0	0.00
136.5	0.00
137.0	0.00
137.5	0.00
138.0	0.00
138.5	0.00
139.0	0.00
139.5	0.00
140.0	0.00
140.5	0.00
141.0	0.00
141.5	0.00
142.0	0.00
142.5	0.00
143.0	0.00
143.5	0.00
144.0	0.00
144.5	0.00
145.0	0.00
145.5	0.00
146.0	0.00
146.5	0.00
147.0	0.00
147.5	0.00
148.0	0.00
148.5	0.00
149.0	0.00
149.5	0.00
150.0	0.00
150.5	0.00
151.0	0.00
151.5	0.00
152.0	0.00
152.5	0.00
153.0	0.00
153.5	0.00
154.0	0.00
154.5	0.00
155.0	0.00
155.5	0.00
156.0	0.00
156.5	0.00
157.0	0.00
157.5	0.00
158.0	0.00
158.5	0.00
159.0	0.00
159.5	0.00
160.0	0.00
160.5	0.00
161.0	0.00
161.5	0.00
162.0	0.00
162.5	0.00
163.0	0.00
163.5	0.00
164.0	0.00
164.5	0.00
165.0	0.00
165.5	0.00
166.0	0.00
166.5	0.00
167.0	0.00
167.5	0.00
168.0	0.00
168.5	0.00
169.0	0.00
169.5	0.00
170.0	0.00
170.5	0.00
171.0	0.00
171.5	0.00
172.0	0.00
172.5	0.00
173.0	0.00
173.5	0.00
174.0	0.00
174.5	0.00
175.0	0.00
175.5	0.00
176.0	0.00
176.5	0.00
177.0	0.00
177.5	0.00
178.0	0.00
178.5	0.00
179.0	0.00
179.5	0.00
180.0	0.00
