湿度(%),文件数量,测量光文件数,参考光文件数,测量光综合平均值(V),测量光综合标准差,参考光综合平均值(V),参考光综合标准差,电压比值(测量/参考),文件名
1%,1,1,1,0.255212,0.000000,0.279944,0.000000,0.9117,"t_1.txt"
2%,1,1,1,0.256579,0.000000,0.280831,0.000000,0.9136,"t_2.txt"
3%,1,1,1,0.256512,0.000000,0.281004,0.000000,0.9128,"t_3.txt"
4%,1,1,1,0.256297,0.000000,0.280732,0.000000,0.9130,"t_4.txt"
5%,1,1,1,0.256239,0.000000,0.280777,0.000000,0.9126,"t_5.txt"
14%,8,8,8,0.738711,0.013885,1.887731,0.021726,0.3913,"14.53_1.txt;14.53_2.txt;14.53_3.txt;14.53_4.txt;14.53_5.txt;14.53_6.txt;14.53_7.txt;14.53_8.txt"
15%,8,8,8,0.720634,0.014583,1.885577,0.021243,0.3822,"15.89_1.txt;15.89_2.txt;15.89_3.txt;15.89_4.txt;15.89_5.txt;15.89_6.txt;15.89_7.txt;15.89_8.txt"
18%,8,8,8,0.754890,0.015659,1.929781,0.016277,0.3912,"18.93_1.txt;18.93_2.txt;18.93_3.txt;18.93_4.txt;18.93_5.txt;18.93_6.txt;18.93_7.txt;18.93_8.txt"
19%,8,8,8,0.710719,0.021663,1.888513,0.038969,0.3763,"19.26_1.txt;19.26_2.txt;19.26_3.txt;19.26_4.txt;19.26_5.txt;19.26_6.txt;19.26_7.txt;19.26_8.txt"
21%,8,8,8,0.733309,0.010445,1.884146,0.020579,0.3892,"21.41_1.txt;21.41_2.txt;21.41_3.txt;21.41_4.txt;21.41_5.txt;21.41_6.txt;21.41_7.txt;21.41_8.txt"
22%,8,8,8,0.729266,0.013183,1.874786,0.021449,0.3890,"22.39_1.txt;22.39_2.txt;22.39_3.txt;22.39_4.txt;22.39_5.txt;22.39_6.txt;22.39_7.txt;22.39_8.txt"
24%,8,8,8,0.689520,0.014491,1.845960,0.025167,0.3735,"24.16_1.txt;24.16_2.txt;24.16_3.txt;24.16_4.txt;24.16_5.txt;24.16_6.txt;24.16_7.txt;24.16_8.txt"
25%,8,8,8,0.708864,0.019143,1.887211,0.034802,0.3756,"25.52_1.txt;25.52_2.txt;25.52_3.txt;25.52_4.txt;25.52_5.txt;25.52_6.txt;25.52_7.txt;25.52_8.txt"
26%,8,8,8,0.652501,0.015123,1.807361,0.020316,0.3610,"26.54_1.txt;26.54_2.txt;26.54_3.txt;26.54_4.txt;26.54_5.txt;26.54_6.txt;26.54_7.txt;26.54_8.txt"
27%,16,16,16,0.684020,0.015577,1.855492,0.025764,0.3686,"27.15_1.txt;27.15_2.txt;27.15_3.txt;27.15_4.txt;27.15_5.txt;27.15_6.txt;27.15_7.txt;27.15_8.txt;27.36_1.txt;27.36_2.txt;27.36_3.txt;27.36_4.txt;27.36_5.txt;27.36_6.txt;27.36_7.txt;27.36_8.txt"
28%,8,8,8,0.647452,0.013696,1.818532,0.015262,0.3560,"28.70_1.txt;28.70_2.txt;28.70_3.txt;28.70_4.txt;28.70_5.txt;28.70_6.txt;28.70_7.txt;28.70_8.txt"
30%,8,8,8,0.681083,0.012687,1.871095,0.028817,0.3640,"30.17_1.txt;30.17_2.txt;30.17_3.txt;30.17_4.txt;30.17_5.txt;30.17_6.txt;30.17_7.txt;30.17_8.txt"
31%,8,8,8,0.659823,0.010512,1.851027,0.016826,0.3565,"31.68_1.txt;31.68_2.txt;31.68_3.txt;31.68_4.txt;31.68_5.txt;31.68_6.txt;31.68_7.txt;31.68_8.txt"
34%,8,8,8,0.640624,0.016191,1.836656,0.014976,0.3488,"34.79_1.txt;34.79_2.txt;34.79_3.txt;34.79_4.txt;34.79_5.txt;34.79_6.txt;34.79_7.txt;34.79_8.txt"
37%,8,8,8,0.649679,0.005254,1.849668,0.021274,0.3512,"37.79_1.txt;37.79_2.txt;37.79_3.txt;37.79_4.txt;37.79_5.txt;37.79_6.txt;37.79_7.txt;37.79_8.txt"
39%,8,8,8,0.615135,0.010075,1.792798,0.022640,0.3431,"39.19_1.txt;39.19_2.txt;39.19_3.txt;39.19_4.txt;39.19_5.txt;39.19_6.txt;39.19_7.txt;39.19_8.txt"
40%,8,8,8,0.664216,0.013204,1.897827,0.021986,0.3500,"40.48_1.txt;40.48_2.txt;40.48_3.txt;40.48_4.txt;40.48_5.txt;40.48_6.txt;40.48_7.txt;40.48_8.txt"
41%,8,8,8,0.665937,0.008542,1.904291,0.020541,0.3497,"41.93_1.txt;41.93_2.txt;41.93_3.txt;41.93_4.txt;41.93_5.txt;41.93_6.txt;41.93_7.txt;41.93_8.txt"
42%,8,8,8,0.659274,0.011362,1.923200,0.007465,0.3428,"42.02_1.txt;42.02_2.txt;42.02_3.txt;42.02_4.txt;42.02_5.txt;42.02_6.txt;42.02_7.txt;42.02_8.txt"
