feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,humidity
1.843172,0.708236,0.005501,0.003613,1.839514,1.844651,1.84712,0.705254,0.707188,0.70962,0.383372,265.528802,0.027676,0.015173,1.134936,0.444827,0.384249,0.792858,0.615751,14.53
1.875341,0.738545,0.011162,0.00391,1.869744,1.872437,1.883247,0.735932,0.737865,0.740823,0.394067,178.442253,0.044389,0.021705,1.136796,0.434906,0.393819,0.518843,0.606181,14.53
1.889702,0.737063,0.00835,0.007125,1.886558,1.891808,1.895563,0.73321,0.735637,0.743441,0.388854,164.876934,0.044414,0.032233,1.152639,0.438806,0.390042,0.920867,0.609958,14.53
1.893005,0.742627,0.008915,0.004883,1.88685,1.895123,1.899148,0.740519,0.742308,0.744471,0.391694,182.208945,0.041442,0.022302,1.150378,0.436471,0.392301,0.707763,0.607699,14.53
1.897345,0.736943,0.006744,0.007828,1.893308,1.89862,1.902544,0.730634,0.740963,0.743415,0.390264,187.729826,0.032207,0.02814,1.160402,0.440499,0.388408,0.925648,0.611592,14.53
1.919168,0.744809,0.007292,0.008589,1.915025,1.916665,1.920127,0.737879,0.740684,0.751406,0.386444,174.953193,0.030571,0.031917,1.174358,0.440829,0.38809,0.918363,0.61191,14.53
1.894822,0.756793,0.011023,0.00603,1.885545,1.894765,1.902389,0.752578,0.756152,0.759102,0.399074,148.704298,0.038459,0.027696,1.138029,0.429183,0.399401,0.707166,0.600599,14.53
1.889298,0.744673,0.006668,0.003992,1.884459,1.88797,1.893704,0.74136,0.745888,0.747326,0.395074,234.941568,0.024455,0.019611,1.144624,0.434562,0.394154,0.748905,0.605846,14.53
1.900127,0.737439,0.006184,0.005358,1.897795,1.89938,1.902593,0.733582,0.736366,0.73948,0.387687,222.450999,0.040477,0.023845,1.162689,0.440819,0.3881,0.928419,0.6119,15.89
1.893724,0.724069,0.009166,0.003171,1.886119,1.88955,1.901435,0.721807,0.723631,0.725743,0.382965,217.484355,0.030131,0.01726,1.169656,0.44681,0.382352,0.514009,0.617648,15.89
