特征,特征名称,重要性,排名
q25_measure,q25_measure,0.416929,1
q75_measure,q75_measure,0.084615,2
median_measure,median_measure,0.083355,3
range_measure,range_measure,0.072880,4
robust_ratio,robust_ratio,0.061188,5
mean_measure,mean_measure,0.050332,6
reflectance_ratio,reflectance_ratio,0.038334,7
q25_refer,q25_refer,0.036061,8
mean_diff,mean_diff,0.024898,9
absorption_contrast,absorption_contrast,0.022972,10
norm_diff,norm_diff,0.020851,11
mean_refer,mean_refer,0.019050,12
std_measure,std_measure,0.014802,13
median_refer,median_refer,0.011427,14
surface_uniformity,surface_uniformity,0.011419,15
range_refer,range_refer,0.011032,16
q75_refer,q75_refer,0.008543,17
std_refer,std_refer,0.007400,18
signal_quality,signal_quality,0.003912,19
