特征,特征名称,重要性,排名
absorption_contrast,absorption_contrast,0.199329,1
norm_diff,norm_diff,0.195403,2
q75_measure,q75_measure,0.175174,3
q25_measure,q25_measure,0.128507,4
median_measure,median_measure,0.104974,5
reflectance_ratio,reflectance_ratio,0.049853,6
robust_ratio,robust_ratio,0.047665,7
mean_measure,mean_measure,0.041392,8
surface_uniformity,surface_uniformity,0.011051,9
range_measure,range_measure,0.010034,10
mean_diff,mean_diff,0.007120,11
q75_refer,q75_refer,0.006210,12
range_refer,range_refer,0.005120,13
std_measure,std_measure,0.003730,14
mean_refer,mean_refer,0.003452,15
std_refer,std_refer,0.003141,16
signal_quality,signal_quality,0.002930,17
median_refer,median_refer,0.002523,18
q25_refer,q25_refer,0.002393,19
